"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "HTML", "Docker", "Python", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\loginHandlers.js", "JavaScript", -5, 0, 0, 0, 0, 0, 1, 1, -3
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\registerHandlers.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, -3, 5
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\peppeteer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, -1, 22
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\spotify.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\forgotPasswordSchema.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\loginSchema.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\registerSchema.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\tailwind.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\translate-text.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\vite.config.js", "JavaScript", 86, 0, 0, 0, 0, 0, 14, 6, 106
"Total", "-", 2841, 23, 183, -7, 9, 0, 2035, 126, 5210
