"filename", "language", "Python", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\401.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\403.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\404.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\500.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\captcha.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\forgotPasswordsHandlers.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 1, 9, 64
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\loginHandlers.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\registerHandlers.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 1, 12, 81
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\peppeteer.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 17, 94
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\toast.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\translate.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\forgotPasswordSchema.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\loginSchema.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\registerSchema.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 7, 90
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\tailwind.config.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\translate-text.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\vite.config.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 21, 2, 93
"Total", "-", 0, 655, 2241, 390, 67, 7, 32, 44, 60, 463, 3959
